,month,year,Predicted Price
0,2,2019,62.48239000000067
1,3,2019,62.90796000000113
2,4,2019,65.02308000000048
3,5,2019,66.3100500000004
4,6,2019,68.28960000000082
5,7,2019,69.72067000000075
